age,travelTimeToWork,income,estrato,numberOfCars,costOfEducation,costOfFood,costOfTranspotation,costOfUtilities,costOfDebt,costOfRecreation,numberOfGroupsThatCookSeperatly,numberOfUsedBedrooms,numberOfPeopleInHousehold
42,,877803,4,1,80000,1300000,0,550000,0,100000,1,3,4
38,De 21 a 40 minutos,877803,4,1,80000,1300000,0,550000,0,100000,1,3,4
18,,,4,1,80000,1300000,0,550000,0,100000,1,3,4
12,,,4,1,80000,1300000,0,550000,0,100000,1,3,4
79,,,2,0,280000,120000,10000,0,0,0,1,4,3
58,,,2,0,280000,120000,10000,0,0,0,1,4,3
24,,,2,0,280000,120000,10000,0,0,0,1,4,3
65,,,4,0,0,800000,0,144000,0,0,1,1,2
66,,,4,0,0,800000,0,144000,0,0,1,1,2
59,,,1,0,300000,200000,0,80000,0,0,1,2,4
56,,,1,0,300000,200000,0,80000,0,0,1,2,4
8,,,1,0,300000,200000,0,80000,0,0,1,2,4
13,,,1,0,300000,200000,0,80000,0,0,1,2,4
75,De 0 a 20 minutos,,2,0,,300000,0,,0,0,1,1,2
56,,,2,0,,300000,0,,0,0,1,1,2
62,Más de 81 minutos,180000,2,1,0,250000,80000,159000,0,0,1,3,5
56,,,2,1,0,250000,80000,159000,0,0,1,3,5
39,De 41 a 60 minutos,877803,2,1,0,250000,80000,159000,0,0,1,3,5
38,,,2,1,0,250000,80000,159000,0,0,1,3,5
58,,,2,1,0,250000,80000,159000,0,0,1,3,5
64,De 21 a 40 minutos,,3,0,0,,,160000,0,0,1,1,2
66,,,3,0,0,,,160000,0,0,1,1,2
73,,,3,0,0,600000,100000,200000,0,0,1,2,2
43,De 61 a 80 minutos,1200000,3,0,0,600000,100000,200000,0,0,1,2,2
71,,,3,0,50000,700000,400000,350000,700000,200000,1,3,3
34,De 21 a 40 minutos,2100000,3,0,50000,700000,400000,350000,700000,200000,1,3,3
28,De 21 a 40 minutos,1100000,3,0,50000,700000,400000,350000,700000,200000,1,3,3
73,,,2,0,0,400000,,400000,0,0,1,3,4
60,De 61 a 80 minutos,,2,0,0,400000,,400000,0,0,1,3,4
39,De 0 a 20 minutos,8770000,2,0,0,400000,,400000,0,0,1,3,4
20,,,2,0,0,400000,,400000,0,0,1,3,4
78,,,3,1,0,400000,0,360000,0,0,2,4,4
42,De 21 a 40 minutos,1200000,3,1,0,400000,0,360000,0,0,2,4,4
58,,,3,1,0,400000,0,360000,0,0,2,4,4
28,,,3,1,0,400000,0,360000,0,0,2,4,4
54,De 0 a 20 minutos,4244000,3,1,5200000,1500000,1200000,300000,1700000,0,1,3,4
61,,,3,1,5200000,1500000,1200000,300000,1700000,0,1,3,4
23,,,3,1,5200000,1500000,1200000,300000,1700000,0,1,3,4
21,,,3,1,5200000,1500000,1200000,300000,1700000,0,1,3,4
59,De 41 a 60 minutos,877803,3,0,0,230000,100000,238000,318000,0,1,1,1
58,De 61 a 80 minutos,877803,1,0,0,400000,80000,450000,0,0,1,3,4
48,,,1,0,0,400000,80000,450000,0,0,1,3,4
17,,,1,0,0,400000,80000,450000,0,0,1,3,4
23,,,1,0,0,400000,80000,450000,0,0,1,3,4
73,,,1,0,0,,0,115000,0,0,1,3,3
68,,,1,0,0,,0,115000,0,0,1,3,3
41,,,1,0,0,,0,115000,0,0,1,3,3
57,,,1,0,50000,300000,25000,157000,500000,0,1,2,5
53,,,1,0,50000,300000,25000,157000,500000,0,1,2,5
19,,,1,0,50000,300000,25000,157000,500000,0,1,2,5
26,,,1,0,50000,300000,25000,157000,500000,0,1,2,5
9,,,1,0,50000,300000,25000,157000,500000,0,1,2,5
55,,,2,0,0,2000,0,180000,0,0,1,1,1
74,,,2,0,0,700000,0,285000,0,0,2,2,3
68,,,2,0,0,700000,0,285000,0,0,2,2,3
51,De 21 a 40 minutos,877803,2,0,0,700000,0,285000,0,0,2,2,3
83,,,3,1,0,500000,0,400000,330000,0,1,6,8
61,,,3,1,0,500000,0,400000,330000,0,1,6,8
51,,,3,1,0,500000,0,400000,330000,0,1,6,8
56,,,3,1,0,500000,0,400000,330000,0,1,6,8
38,De 21 a 40 minutos,877000,3,1,0,500000,0,400000,330000,0,1,6,8
18,,,3,1,0,500000,0,400000,330000,0,1,6,8
18,,,3,1,0,500000,0,400000,330000,0,1,6,8
82,,,3,1,0,500000,0,400000,330000,0,1,6,8
88,,,3,0,0,,,400000,0,0,1,2,3
85,,,3,0,0,,,400000,0,0,1,2,3
70,,,3,0,0,,,400000,0,0,1,2,3
55,,,3,0,0,,,200000,500000,0,1,3,2
30,,,3,0,0,,,200000,500000,0,1,3,2
77,,,4,0,0,250000,0,350000,,0,3,3,3
52,,,4,0,0,250000,0,350000,,0,3,3,3
